Film Title,WW210,Days to HQ,WW Box,Box * Days to HQ, Has CAM? , A , Animation , Adventure , Comedy , Drama , Romantic Comedy , Horror/Thriller , PG-13 , R 
The Wolf of Wall Street,53248633,11,392,4312,1,0,0,0,0,1,0,0,0,1
Runner Runner,15205571,83,63,5202,1,0,0,1,0,0,0,0,0,1
The Purge,10312163,20,89,1787,1,0,0,0,0,0,0,1,0,1
Django Unchained,44610018,11,425,4679,1,0,0,1,0,0,0,0,0,1
Beautiful Creatures,11929074,76,60,4564,1,0,0,0,0,0,0,1,1,0
Silent Hill: Revelation 3D,10398819,87,52,4550,1,0,0,0,0,0,0,1,0,1
American Hustle,28133572,17,251,4270,1,0,0,0,0,1,0,0,0,1
The Ides of March,3508409,55,76,4180,0,0,0,0,0,1,0,0,0,1
The Perks of Being a Wallflower,4970512,81,33,2704,1,0,0,0,0,1,0,0,1,0
Red Dawn,7928679,89,45,3988,1,0,0,0,0,0,0,0,1,0
Kick-Ass 2,22363805,15,61,912,1,0,0,0,0,0,0,0,0,1
That Awkward Moment,12708529,83,40,3359,0,0,0,0,0,0,1,0,0,1
Devil's Due,4168696,89,37,3286,1,0,0,0,0,0,0,1,0,1
R.I.P.D.,33338988,35,78,2741,1,0,0,0,0,0,0,0,1,0
The World's End,10812038,50,46,2304,0,0,0,0,1,0,0,0,0,1
You're Next,2844172,128,18,2367,1,0,0,0,0,0,0,1,0,1
50/50,2511570,53,39,2077,0,0,0,0,1,0,0,0,0,1
The Way Way Back,3554238,88,23,2041,0,0,0,0,1,0,0,0,1,0
Mud,5317436,83,33,2707,0,0,0,0,0,1,0,0,1,0
The Man with the Iron Fists,10369572,36,20,710,1,0,0,0,0,0,0,0,0,1
Seven Psychopaths,9668203,84,19,1631,0,0,0,0,1,0,0,0,0,1
Broken City,15607038,62,20,1221,1,0,0,0,0,0,0,1,0,1
Admission,3282540,85,18,1531,0,0,0,0,0,0,1,0,1,0
Monte Carlo,3227334,33,40,1309,1,0,0,0,0,0,1,0,0,0
The Host,20328554,26,63,1647,1,1,0,0,0,0,0,1,1,0
jOBS,13513191,30,36,1078,1,0,0,0,0,1,0,0,1,0
The Best Man Holiday,2124739,13,73,947,1,0,0,0,1,0,0,0,0,1
Nebraska,5659827,59,28,1633,0,0,0,0,1,0,0,0,0,1
Peeples,1288110,109,9,1014,1,0,0,0,0,0,1,0,1,0
Getaway,6928375,74,11,777,1,0,0,0,0,0,0,1,1,0
Lone Survivor,19525666,5,155,774,0,0,0,0,0,1,0,0,0,1
Grudge Match,13280273,14,45,629,1,0,0,0,1,0,0,0,1,0
Machete Kills,10297284,47,15,705,1,0,0,0,0,0,0,0,0,1
What's Your Number?,3232428,22,30,669,1,0,0,0,0,0,1,0,0,1
Chasing Mavericks,4386396,69,6,414,0,0,0,0,0,1,0,0,0,0
The Sessions,2212642,58,9,530,0,0,0,0,0,1,0,0,0,1
All Is Lost,6755869,50,14,681,0,0,0,0,0,1,0,0,1,0
Oldboy,8581177,43,5,209,0,0,0,0,0,0,0,1,0,1
Closed Circuit,3492355,26,6,150,1,0,0,0,0,0,0,1,0,1
Promised Land,2345004,16,8,130,0,0,0,0,0,1,0,0,0,1
Arbitrage,4779109,1,35,35,0,0,0,0,0,0,0,1,0,1
Something Borrowed,3179868,80,60,4815,1,0,0,0,0,0,1,0,1,0
Jumping the Broom,1314821,70,38,2640,1,0,0,0,0,0,1,0,1,0
Bridesmaids,5086699,85,288,24513,1,0,0,0,1,0,0,0,0,1
Pirates of the Caribbean: On Stranger Tides,20230930,93,1046,97251,1,1,0,1,0,0,0,0,1,0
The Tree of Life,3469229,107,54,5810,1,0,0,0,0,1,0,0,1,0
The Hangover Part II,13931301,136,587,79800,1,1,0,0,1,0,0,0,0,1
Super 8,9252501,57,260,14825,1,1,0,0,0,0,0,1,1,0
Green Lantern,11251672,80,220,17588,1,1,0,0,0,0,0,0,1,0
Mr. Popper's Penguins,6095042,77,187,14427,1,1,0,1,0,0,0,0,0,0
Bad Teacher,12663957,47,216,10161,1,0,0,0,1,0,0,0,0,1
Transformers: Dark of the Moon,23264544,66,1124,74170,1,1,0,0,0,0,0,0,1,0
Larry Crowne,2250325,64,72,4609,1,0,0,0,0,0,1,0,1,0
Horrible Bosses,9184947,76,210,15933,1,0,0,0,1,0,0,0,0,1
Harry Potter and the Deathly Hallows: Part 2,14364577,96,1342,128785,1,1,0,1,0,0,0,0,1,0
Captain America: The First Avenger,14251794,42,371,15564,1,1,0,0,0,0,0,0,1,0
Friends with Benefits,11606895,33,150,4935,1,0,0,0,0,0,1,0,0,1
Colombiana,6952356,71,61,4329,1,0,0,0,0,0,0,1,1,0
Crazy_ Stupid_ Love.,6432228,72,143,10285,1,0,0,0,1,0,0,0,1,0
Cowboys & Aliens,11966673,71,175,12412,1,1,0,0,0,0,0,0,1,0
The Smurfs,11363218,52,564,29315,1,1,1,0,0,0,0,0,0,0
Rise of the Planet of the Apes,14540272,66,482,31799,1,1,0,1,0,0,0,0,1,0
The Change-Up,7340347,64,75,4829,1,0,0,0,1,0,0,0,0,1
The Help,3626914,59,217,12782,1,0,0,0,0,1,0,0,1,0
Final Destination 5,9148715,116,158,18315,1,0,0,0,0,0,0,1,0,1
30 Minutes or Less,4707902,74,41,3001,1,0,0,0,1,0,0,0,0,1
Conan the Barbarian,9639011,79,49,3855,1,0,0,0,0,0,0,0,0,1
One Day,2411427,52,59,3088,1,0,0,0,0,1,0,0,1,0
Spy Kids: All the Time in the World in 4D,2376385,75,86,6417,1,1,0,1,0,0,0,0,0,0
Fright Night,4082322,51,41,2091,1,0,0,0,0,0,0,1,0,1
The Guard,2536933,21,20,411,0,0,0,0,1,0,0,0,0,1
Apollo 18,4877914,61,26,1559,1,1,0,0,0,0,0,1,1,0
Contagion,6985878,94,135,12733,1,1,0,0,0,0,0,1,1,0
Warrior,4598891,73,23,1683,1,0,0,0,0,1,0,0,1,0
Johnny English Reborn,7835719,117,160,18729,1,0,0,0,1,0,0,0,0,0
Drive,4803756,9,76,686,0,0,0,0,0,0,0,0,0,1
Tinker Tailor Soldier Spy,3015292,112,81,9031,1,0,0,0,0,0,0,1,0,1
Carnage,1289909,95,28,2622,1,0,0,0,0,1,0,0,0,1
Straw Dogs,1914202,76,10,785,0,0,0,0,0,0,0,1,0,1
Dolphin Tale,2130172,71,95,6774,1,1,0,0,0,1,0,0,0,0
Abduction,5635351,43,82,3530,1,0,0,0,0,0,0,1,1,0
Moneyball,6091428,52,110,5731,1,0,0,0,0,1,0,0,1,0
Dream House,4499426,75,39,2888,1,0,0,0,0,0,0,1,1,0
Courageous,844677,79,35,2727,0,0,0,0,0,1,0,0,1,0
A Dangerous Method,1384649,115,27,3158,1,0,0,0,0,1,0,0,0,1
Real Steel,17755687,88,299,26336,1,1,0,0,0,0,0,0,1,0
The Thing,6339858,42,27,1152,1,0,0,0,0,0,0,1,0,1
The Big Year,1578659,95,7,708,0,0,0,0,1,0,0,0,0,0
Paranormal Activity 3,4719729,86,207,17805,1,1,0,0,0,0,0,1,0,1
The Rum Diary,3281815,95,24,2275,1,0,0,0,0,1,0,0,0,1
The Adventures of Tintin,8731745,117,374,43757,1,0,0,1,0,0,0,0,0,0
Puss in Boots,14480721,74,555,41069,1,1,1,0,0,0,0,0,0,0
Anonymous,4034183,46,15,708,1,0,0,0,0,0,0,1,1,0
Tower Heist,11504125,99,153,15140,1,1,0,0,1,0,0,0,1,0
Jack and Jill,6663169,97,150,14518,1,1,0,0,1,0,0,0,0,0
J. Edgar,4464038,91,85,7699,1,0,0,0,0,1,0,0,0,1
The Twilight Saga: Breaking Dawn - Part 1,11179656,70,712,49854,1,1,0,0,0,1,0,0,1,0
Happy Feet Two,5565728,64,150,9626,1,1,1,0,0,0,0,0,0,0
Hugo,6909580,86,186,15976,1,0,0,1,0,0,0,0,0,0
New Year's Eve,4532511,112,142,15909,1,1,0,0,0,0,1,0,1,0
The Sitter,3832013,83,35,2900,1,0,0,0,1,0,0,0,0,1
The Descendants,6809195,38,177,6735,0,0,0,0,0,1,0,0,0,1
Sherlock Holmes: A Game of Shadows,23965165,123,545,67090,1,1,0,0,0,0,0,0,1,0
Mission: Impossible - Ghost Protocol,22741132,91,695,63219,1,1,0,0,0,0,0,0,1,0
Young Adult,2574889,76,23,1743,1,0,0,0,1,0,0,0,0,1
The Darkest Hour,4184480,98,65,6333,1,0,0,0,0,0,0,0,1,0
We Bought a Zoo,5925444,85,120,10207,1,0,0,0,0,1,0,0,0,0
War Horse,8601126,14,178,2486,0,0,0,0,0,1,0,0,1,0
The Iron Lady,4322812,38,115,4368,1,0,0,0,0,1,0,0,1,0
The Devil Inside,4069057,114,102,11600,1,0,0,0,0,0,0,1,0,1
Contraband,13347064,85,96,8182,1,0,0,0,0,0,0,0,0,1
Haywire,5819826,61,33,2036,1,0,0,0,0,0,0,1,0,1
Journey 2: The Mysterious Island,13171578,119,335,39896,1,1,0,1,0,0,0,0,0,0
Underworld: Awakening,18513137,25,160,4003,1,0,0,0,0,0,0,0,0,1
Red Tails,4425870,101,50,5087,1,0,0,0,0,0,0,0,1,0
Man on a Ledge,13296273,71,46,3282,1,0,0,0,0,0,0,1,1,0
One for the Money,7558793,33,37,1217,0,0,0,0,1,0,0,0,1,0
The Grey,13786628,23,77,1777,1,0,0,0,0,0,0,1,0,1
Chronicle,13929417,84,127,10637,1,0,0,0,0,0,0,1,1,0
Big Miracle,2034021,120,25,2966,1,0,0,0,0,1,0,0,0,0
The Woman in Black,8142830,16,128,2044,1,0,0,0,0,0,0,1,1,0
Safe House,15847797,104,208,21640,1,0,0,0,0,0,0,1,0,1
The Vow,11302529,42,196,8237,1,0,0,0,0,1,0,0,1,0
This Means War,16091719,76,156,11893,1,0,0,0,0,0,1,0,1,0
Ghost Rider: Spirit of Vengeance,17521272,37,133,4905,1,0,0,0,0,0,0,0,1,0
Gone,4364595,26,18,471,0,0,0,0,0,0,0,1,1,0
Act of Valor,9365384,30,81,2438,1,0,0,0,0,0,0,0,0,1
The Best Exotic Marigold Hotel,2562913,116,137,15873,1,0,0,0,1,0,0,0,1,0
Wanderlust,4773458,103,22,2226,0,0,0,0,1,0,0,0,0,1
Good Deeds,1131560,9,36,320,0,0,0,0,0,1,0,0,1,0
The Lorax,9640163,136,349,47442,1,1,1,0,0,0,0,0,0,0
Project X,14521182,89,103,9143,1,0,0,0,1,0,0,0,0,1
John Carter,27521508,71,284,20174,1,1,0,1,0,0,0,0,1,0
Silent House,879609,117,13,1533,1,0,0,0,0,0,0,1,0,1
A Thousand Words,6844932,97,22,2138,1,0,0,0,1,0,0,0,1,0
The Raven,4380747,125,30,3707,1,0,0,0,0,0,0,1,0,1
Mirror Mirror,11846441,67,183,12262,1,1,0,1,0,0,0,0,0,0
21 Jump Street,19838606,45,202,9071,1,0,0,0,1,0,0,0,0,1
The Hunger Games,26108515,135,694,93743,1,1,0,0,0,0,0,0,1,0
Think Like a Man,3418240,137,96,13162,1,0,0,0,0,0,1,0,1,0
Wrath of the Titans,25725984,73,305,22285,1,1,0,1,0,0,0,0,1,0
The Cold Light of Day,4255178,140,17,2361,1,0,0,0,0,0,0,1,1,0
American Reunion,21127741,83,235,19504,1,0,0,0,1,0,0,0,0,1
Battleship,32211956,112,303,33939,1,1,0,0,0,0,0,0,1,0
The Cabin in the Woods,7120482,124,66,8244,1,0,0,0,0,0,0,1,0,1
Lockout,15207137,77,32,2480,1,0,0,0,0,0,0,1,1,0
The Three Stooges,3880825,82,55,4495,1,1,0,0,1,0,0,0,0,0
The Lucky One,7583667,115,99,11426,1,0,0,0,0,1,0,0,1,0
The Avengers,53349212,115,1520,174749,1,1,0,1,0,0,0,0,1,0
The Five-Year Engagement,5162724,106,54,5714,1,0,0,0,0,0,1,0,0,1
Dark Shadows,15525802,112,246,27499,1,1,0,0,1,0,0,0,1,0
The Dictator,20931853,81,179,14530,1,0,0,0,1,0,0,0,0,1
What to Expect When You're Expecting,6457136,103,84,8692,1,0,0,0,0,0,1,0,1,0
Men in Black 3,32198490,101,624,63027,1,1,0,1,0,0,0,0,1,0
Snow White and the Huntsman,24767544,91,397,36090,1,1,0,1,0,0,0,0,1,0
Prometheus,29868055,98,403,39529,1,1,0,0,0,0,0,0,0,1
Madagascar 3: Europe's Most Wanted,23069433,118,747,88137,1,1,1,0,0,0,0,0,0,0
Abraham Lincoln: Vampire Hunter,16792014,111,116,12928,1,0,0,0,0,0,0,1,0,1
Seeking a Friend for the End of the World,5958872,55,10,530,0,0,0,0,1,0,0,0,0,1
Ice Age: Continental Drift,28069354,90,877,78952,1,1,1,0,0,0,0,0,0,0
Magic Mike,8136410,45,167,7525,1,0,0,0,1,0,0,0,0,1
Ted,30929141,126,549,69220,1,1,0,0,1,0,0,0,0,1
Madea's Witness Protection,1458516,102,67,6824,1,0,0,0,1,0,0,0,1,0
People Like Us,2206663,77,12,957,0,0,0,0,0,1,0,0,1,0
Savages,8587395,118,83,9790,1,0,0,0,0,0,0,1,0,1
The Dark Knight Rises,33413179,118,1085,128023,1,1,0,0,0,0,0,0,1,0
Step Up Revolution,12148332,104,140,14609,1,0,0,0,0,1,0,0,1,0
The Watch,6251388,95,68,6485,1,0,0,0,1,0,0,0,0,1
Total Recall,26193920,90,198,17862,1,1,0,0,0,0,0,0,1,0
Diary of a Wimpy Kid: Dog Days,1688332,103,77,7943,0,1,0,0,1,0,0,0,0,0
ParaNorman,7476747,101,107,10821,1,1,1,0,0,0,0,0,0,0
The Bourne Legacy,22226294,112,276,30928,1,1,0,0,0,0,0,1,1,0
Hope Springs,2102821,99,114,11314,1,0,0,0,0,0,1,0,1,0
The Campaign,5558037,70,105,7344,1,1,0,0,1,0,0,0,0,1
The Odd Life of Timothy Green,3198435,93,52,4823,1,0,0,0,0,1,0,0,0,0
The Expendables 2,31947210,47,305,14355,1,1,0,0,0,0,0,0,0,1
Premium Rush,9076780,97,31,3015,1,0,0,0,0,0,0,1,1,0
The Apparition,3775811,78,10,751,0,0,0,0,0,0,0,1,1,0
Lawless,8470268,75,54,4026,1,0,0,0,0,1,0,0,0,1
The Possession,6225494,120,85,10254,1,0,0,0,0,0,0,1,1,0
Dredd,14426282,103,36,3670,1,0,0,0,0,0,0,0,0,1
The Words,4183196,89,13,1178,0,0,0,0,0,1,0,0,1,0
Ruby Sparks,3608376,37,9,338,0,0,0,0,0,0,1,0,0,1
Resident Evil: Retribution,20513372,77,240,18492,1,0,0,0,0,0,0,0,0,1
Killing Them Softly,11299221,98,38,3717,1,0,0,0,0,0,0,1,0,1
Trouble with the Curve,3145988,75,49,3672,1,1,0,0,0,1,0,0,1,0
Looper,27254155,35,177,6178,1,0,0,0,0,0,0,0,0,1
Won't Back Down,437284,100,5,531,0,0,0,0,0,1,0,0,0,0
Taken 2,24397580,79,376,29715,1,1,0,0,0,0,0,1,1,0
Frankenweenie,7886080,77,81,6275,1,0,1,0,0,0,0,0,0,0
Pitch Perfect,7452248,61,115,7036,0,0,0,0,1,0,0,0,1,0
Celeste & Jesse Forever,577356,93,3,288,0,0,0,0,0,0,1,0,0,1
Sinister,10641106,43,78,3342,1,0,0,0,0,0,0,1,0,1
Argo,23239205,92,232,21374,1,1,0,0,0,0,0,1,0,1
Here Comes the Boom,8375952,97,73,7091,1,0,0,0,1,0,0,0,0,0
Paranormal Activity 4,6160774,89,143,12711,1,1,0,0,0,0,0,1,0,1
Alex Cross,7565706,51,35,1764,1,0,0,0,0,0,0,1,1,0
Fun Size,1739524,103,11,1176,1,0,0,0,1,0,0,0,1,0
Skyfall,42596444,64,1109,70948,1,1,0,0,0,0,0,0,1,0
Cloud Atlas,20611274,47,130,6133,1,0,0,0,0,1,0,0,0,1
Flight,15008588,49,162,7927,1,0,0,0,0,1,0,0,0,1
The Twilight Saga: Breaking Dawn - Part 2,31071002,91,830,75507,1,1,0,0,0,1,0,0,1,0
Rise of the Guardians,22466449,87,307,26704,1,1,1,0,0,0,0,0,0,0
Playing for Keeps,7099176,75,13,983,1,0,0,0,0,0,1,0,1,0
The Hobbit: An Unexpected Journey,46997295,20,1021,20422,1,1,0,1,0,0,0,0,1,0
The Guilt Trip,3557046,118,42,4940,0,0,0,0,1,0,0,0,1,0
Jack Reacher,31780280,118,218,25764,1,1,0,0,0,1,0,0,1,0
This Is 40,12237488,7,88,616,0,0,0,0,1,0,0,0,0,1
The Company You Keep,2150118,106,20,2081,0,0,0,0,0,0,0,1,0,1
Movie 43,15709002,55,32,1784,1,0,0,0,1,0,0,0,0,1
Stand Up Guys,6527991,5,3,17,0,0,0,0,0,1,0,0,0,1
Hansel & Gretel: Witch Hunters,35942584,107,226,24219,1,1,0,0,0,0,0,0,0,1
The Last Stand,23188030,94,48,4543,1,0,0,0,0,0,0,0,0,1
Mama,19121161,16,146,2343,1,0,0,0,0,0,0,1,1,0
Parker,30982431,99,46,4575,1,0,0,0,0,0,0,1,0,1
Bullet to the Head,11497363,113,9,1072,1,0,0,0,0,0,0,0,0,1
Safe Haven,11439247,58,98,5660,1,1,0,0,0,0,1,0,1,0
Snitch,20950780,88,43,3778,1,0,0,0,0,0,0,0,1,0
Jack the Giant Slayer,34597869,91,198,17990,1,1,0,1,0,0,0,0,1,0
The Last Exorcism Part II,3673376,91,15,1381,1,0,0,0,0,0,0,1,1,0
Oz the Great and Powerful,25790047,76,493,37492,1,1,0,1,0,0,0,0,0,0
Dead Man Down,12205869,88,18,1591,1,0,0,0,0,0,0,1,0,1
Olympus Has Fallen,24391068,98,161,15781,1,0,0,0,0,0,0,1,0,1
The Place Beyond the Pines,9724360,45,35,1597,1,0,0,0,0,1,0,0,0,1
G.I. Joe: Retaliation,45347832,100,376,37574,1,1,0,0,0,0,0,0,1,0
Evil Dead,17118074,87,98,8486,1,0,0,0,0,0,0,1,0,1
42,6496675,17,95,1615,1,0,0,0,0,1,0,0,1,0
Pain & Gain,25436625,115,86,9910,1,1,0,0,0,0,0,0,0,1
The Big Wedding,8689539,96,47,4466,1,0,0,0,0,0,1,0,0,1
The Great Gatsby,29935099,91,351,31945,1,1,0,0,0,1,0,0,1,0
The Hangover Part III,38284984,15,362,5430,1,1,0,0,1,0,0,0,0,1
Now You See Me,42684334,82,352,28841,1,0,0,0,0,0,0,1,1,0
Man of Steel,54669326,125,668,83506,1,1,0,0,0,0,0,0,1,0
This Is the End,16852028,93,126,11722,1,0,0,0,1,0,0,0,0,1
World War Z,64608220,75,540,40501,1,1,0,0,0,0,0,0,1,0
Despicable Me 2,47852907,118,971,114550,1,1,1,0,0,0,0,0,0,0
Grown Ups 2,23017758,98,247,24204,1,1,0,0,1,0,0,0,1,0
The Conjuring,30646993,15,318,4770,1,0,0,0,0,0,0,1,0,1
The Wolverine,45745283,104,415,43142,1,1,0,0,0,0,0,0,1,0
The To Do List,2628641,98,4,349,0,0,0,0,1,0,0,0,0,1
The Smurfs 2,19693590,100,348,34755,1,1,1,0,0,0,0,0,0,0
We're the Millers,30657500,14,270,3780,1,1,0,0,1,0,0,0,0,1
Paranoia,6185350,83,14,1144,1,0,0,0,0,0,0,1,1,0
The Mortal Instruments: City of Bones,19175937,48,91,4347,1,0,0,0,0,1,0,0,1,0
About Time,13803261,118,87,10278,1,0,0,0,0,0,1,0,0,1
Rush,15946964,106,90,9566,1,0,0,0,0,1,0,0,0,1
Insidious: Chapter 2,14508009,84,162,13601,1,0,0,0,0,0,0,1,1,0
Don Jon,12312068,56,30,1705,1,0,0,0,1,0,0,0,0,1
The Fifth Estate,6503497,91,9,779,0,0,0,0,0,1,0,0,0,1
Carrie,13884478,78,85,6614,1,0,0,0,0,0,0,1,0,1
Free Birds,8788586,35,110,3864,1,1,1,0,0,0,0,0,0,0
Last Vegas,19257673,60,134,8064,1,0,0,0,1,0,0,0,1,0
Inside Llewyn Davis,2477901,68,33,2240,0,0,0,0,1,0,0,0,0,1
The Hunger Games: Catching Fire,50632942,65,865,56226,1,1,0,0,0,0,0,0,1,0
Dallas Buyers Club,14695603,42,55,2318,1,0,0,0,0,1,0,0,0,1
I_ Frankenstein,24822518,37,71,2633,1,0,0,0,0,0,0,1,1,0
Labor Day,3841107,73,20,1480,0,0,0,0,0,1,0,0,1,0
Paranormal Activity: The Marked Ones,6906338,83,91,7545,1,0,0,0,0,0,0,1,0,1
The Hobbit: The Desolation of Smaug,55908719,15,958,14376,1,1,0,1,0,0,0,0,1,0
The Monuments Men,18368108,83,155,12864,1,0,0,0,0,1,0,0,1,0
22 Jump Street,41696203,112,331,37109,1,1,0,0,1,0,0,0,0,1
How to Train Your Dragon 2,37152983,87,622,54074,1,1,1,0,0,0,0,0,0,0
The Fault in Our Stars,31516452,74,307,22730,1,0,0,0,0,1,0,0,1,0
A Million Ways to Die in The West,25953579,15,87,1308,1,0,0,0,1,0,0,0,0,1
Edge of Tomorrow,58630200,95,371,35201,1,1,0,0,0,0,0,0,1,0
Maleficent,49487563,80,759,60683,1,1,0,1,0,0,0,0,0,0
Blended,23758101,16,128,2049,1,1,0,0,0,0,1,0,1,0
X-Men: Days of Future Past,70479872,88,748,65812,1,1,0,1,0,0,0,0,1,0
Godzilla,57709243,99,529,52379,1,1,0,0,0,0,0,0,1,0
Chef,14063413,52,46,2390,0,0,0,0,1,0,0,0,0,1
Neighbors,28771989,47,271,12721,1,1,0,0,1,0,0,0,0,1
Draft Day,6306462,98,29,2887,1,0,0,0,0,1,0,0,1,0
Transcendence,40156586,74,103,7625,1,1,0,1,0,0,0,0,1,0
Heaven is for Real,8163981,77,101,7803,1,0,0,0,0,1,0,0,0,0
The Amazing Spider-Man 2,58151604,92,709,65226,1,1,0,1,0,0,0,0,1,0
The Quiet Ones,3558872,41,18,731,0,0,0,0,0,0,0,1,1,0
Captain America: The Winter Soldier,64418099,125,714,89303,1,1,0,1,0,0,0,0,1,0
Noah,43989492,105,363,38077,1,1,0,0,0,1,0,0,1,0
Divergent,47617789,123,289,35533,1,1,0,1,0,0,0,0,1,0
Rio 2,38863586,78,500,39008,1,1,1,0,0,0,0,0,0,0
Muppets Most Wanted,4314288,109,80,8762,1,0,0,0,1,0,0,0,0,0
The Single Moms Club,1607108,112,16,1830,1,0,0,0,1,0,0,0,1,0
Veronica Mars,7546747,0,4,0,0,0,0,0,1,0,0,0,1,0
Need for Speed,44182992,121,203,24597,1,0,0,0,0,0,0,0,1,0
300: Rise of an Empire,54709730,17,338,5739,1,1,0,0,0,0,0,0,0,1
Non-Stop,34157684,88,223,19607,1,0,0,0,0,0,0,1,1,0
The Grand Budapest Hotel,17875381,96,175,16781,1,0,0,0,1,0,0,0,0,1
3 Days to Kill,20634512,76,53,3997,1,0,0,0,0,0,0,1,1,0
Pompeii,21609436,71,118,8366,1,0,0,0,0,1,0,0,1,0
About Last Night,5069866,76,49,3724,1,0,0,0,0,0,1,0,0,1
Winter's Tale,11621253,16,31,498,1,0,0,1,0,0,0,0,1,0
Endless Love,6430783,16,35,555,0,0,0,0,0,1,0,0,1,0
Transformers: Age of Extinction,77850471,85,1104,93845,1,1,0,0,0,0,0,0,1,0
Think Like a Man Too,9098780,68,70,4772,1,0,0,0,1,0,0,0,1,0
A Most Wanted Man,11071162,88,36,3189,0,0,0,0,0,0,0,1,0,1
